departamentos,nombre_apellido,cuenta,password,descripcion
Comercial,JAVIER CAMPOS VARGAS,jcamposv,Lcslsn-24,jcamposv@empresa2.com
Comercial,ANGI FILE MON,afilem,Lcslsn-24,afilem@empresa2.com
Comercial,EVA GARCIA ALAVES,egarciaa,Lcslsn-24,egarciaa@empresa2.com
Comercial,EVA MONCHO CARVALHO,emonchoc,Lcslsn-24,emonchoc@empresa2.com
Comercial,MERE PANTERA ROSA,mpanterar,Lcslsn-24,mpanterar@empresa2.com
Comercial,JUAN RIGOBERTO PICAPORTE,jrigobertop,Lcslsn-24,jrigobertop@empresa2.com
Comercial,ANA RUE PERCEBE,aruep,Lcslsn-24,aruep@empresa2.com
Comercial,JOSE SHIN CHAN,jshinc,Lcslsn-24,jshinc@empresa2.com
Comptabilitat,ANTONIO ALABAU,aalabauv,Lcslsn-24,aalabauv@empresa2.com
Comptabilitat,JOHANN ALBA VALENCIA,jalbac,Lcslsn-24,jalbac@empresa2.com
Comptabilitat,VICOR NANO UCHE,vnanou,Lcslsn-24,vnanou@empresa2.com
Comptabilitat,PEDRO PULGAR CITO,ppulgarc,Lcslsn-24,ppulgarc@empresa2.com
Comptabilitat,MARIA SEGIS OLIVIO,msegiso,Lcslsn-24,msegiso@empresa2.com
Comptabilitat,TONI TIN TIN,ttint,Lcslsn-24,ttint@empresa2.com
Comptabilitat,SUSANA VALENCIA MONCHO,svalenciam,Lcslsn-24,svalenciam@empresa2.com
Comptabilitat,TUSO ZIPI ZAPEL,tzipiz,Lcslsn-24,tzipiz@empresa2.com
Informatica,RODRIGO CHAVES CAMPOS,rchavesc,Lcslsn-24,rchavesc@empresa2.com
Informatica,JESU COMI CLANDIA,jcomic,Lcslsn-24,jcomic@empresa2.com
Informatica,ISA GOTERA OTILIO,igoterao,Lcslsn-24,igoterao@empresa2.com
Informatica,MANU TOM JERRY,mtomj,Lcslsn-24,mtomj@empresa2.com
Personal,XIMO ABEJA MAYA,xabejam,Lcslsn-24,xabejam@empresa2.com
Personal,PIEDAD ALBA GOMIS,palbag,Lcslsn-24,palbag@empresa2.com
Personal,MANUEL CARVALHO VALENCIA,mcarvalhov,Lcslsn-24,mcarvalhov@empresa2.com
Personal,PEDRO CHAVES ALABAU,pchavesa,Lcslsn-24,pchavesa@empresa2.com
Personal,EVA DORO TEO,edorot,Lcslsn-24,edorot@empresa2.com
Personal,CLAUDIO GOMIS CAMPOS,cgomisc,Lcslsn-24,cgomisc@empresa2.com
Personal,TORPE MORTA DELO,tmortad,Lcslsn-24,tmortad@empresa2.com
Personal,GARGAMEL ROMPE TECHOS,grompet,Lcslsn-24,grompet@empresa2.com
Personal,EUSEBIO UNOS FLAN,eunosf,Lcslsn-24,eunosf@empresa2.com
